country,ISO 3166-1 alpha-3,year,GDP_Value,suicides_no,latitude,longitude
Croatia,HRV,2013,13871.3299,692,45.1,15.2000001
Croatia,HRV,2014,13784.47836,722,45.1,15.2000001
Croatia,HRV,2015,11952.31118,739,45.1,15.2000001
Croatia,HRV,2016,12552.25538,683,45.1,15.2000001
Hungary,HUN,2006,11489.56087,2461,47.162494,19.5033041
Hungary,HUN,2007,13940.90928,2450,47.162494,19.5033041
Hungary,HUN,2008,15772.33008,2476,47.162494,19.5033041
Hungary,HUN,2009,13077.30547,2460,47.162494,19.5033041
Hungary,HUN,2010,13217.5046,2489,47.162494,19.5033041
Hungary,HUN,2011,14234.47158,2420,47.162494,19.5033041
Hungary,HUN,2012,12984.83657,2349,47.162494,19.5033041
Hungary,HUN,2013,13715.07036,2092,47.162494,19.5033041
Hungary,HUN,2014,14294.25842,1925,47.162494,19.5033041
Hungary,HUN,2015,12717.0386,1868,47.162494,19.5033041
Hungary,HUN,2016,13104.69955,1761,47.162494,19.5033041
Ireland,IRL,2006,54329.16186,452,53.1423672,-7.692053599999999
Ireland,IRL,2007,61396.41746,458,53.1423672,-7.692053599999999
Ireland,IRL,2008,61353.10656,506,53.1423672,-7.692053599999999
Ireland,IRL,2009,52133.09062,527,53.1423672,-7.692053599999999
Ireland,IRL,2010,48663.60044,486,53.1423672,-7.692053599999999
Ireland,IRL,2011,52183.13293,554,53.1423672,-7.692053599999999
Ireland,IRL,2012,49054.69743,542,53.1423672,-7.692053599999999
Ireland,IRL,2013,51546.35476,487,53.1423672,-7.692053599999999
Ireland,IRL,2014,55643.05943,486,53.1423672,-7.692053599999999
Iceland,ISL,2006,57492.93425,32,64.963051,-19.020835
Iceland,ISL,2007,69495.72674,37,64.963051,-19.020835
Iceland,ISL,2008,56943.37045,38,64.963051,-19.020835
Iceland,ISL,2009,41301.27322,36,64.963051,-19.020835
Iceland,ISL,2010,43237.07295,46,64.963051,-19.020835
Iceland,ISL,2011,47714.59223,27,64.963051,-19.020835
Iceland,ISL,2012,45995.54788,37,64.963051,-19.020835
Iceland,ISL,2013,49804.983,49,64.963051,-19.020835
Iceland,ISL,2014,54576.74481,44,64.963051,-19.020835
Iceland,ISL,2015,52951.68151,40,64.963051,-19.020835
Iceland,ISL,2016,61987.92636,40,64.963051,-19.020835
Italy,ITA,2006,33529.7266,3700,41.87194,12.56738
Italy,ITA,2007,37870.74751,3757,41.87194,12.56738
Italy,ITA,2008,40944.91242,3904,41.87194,12.56738
Italy,ITA,2009,37226.75719,3974,41.87194,12.56738
Italy,ITA,2010,36035.645,3989,41.87194,12.56738
Italy,ITA,2011,38649.63948,4153,41.87194,12.56738
Italy,ITA,2012,35051.52127,4257,41.87194,12.56738
Italy,ITA,2013,35560.08141,4290,41.87194,12.56738
Italy,ITA,2014,35565.72138,4147,41.87194,12.56738
Italy,ITA,2015,30242.38614,3988,41.87194,12.56738
Lithuania,LTU,2006,9230.707981,1049,55.169438,23.881275
Lithuania,LTU,2007,12285.44705,1025,55.169438,23.881275
Lithuania,LTU,2008,14944.99665,1111,55.169438,23.881275
Lithuania,LTU,2009,11820.77616,1138,55.169438,23.881275
Lithuania,LTU,2010,11987.50841,1018,55.169438,23.881275
Lithuania,LTU,2011,14376.94786,1018,55.169438,23.881275
Lithuania,LTU,2012,14367.70942,927,55.169438,23.881275
Lithuania,LTU,2013,15729.65247,1085,55.169438,23.881275
Lithuania,LTU,2014,16551.0182,930,55.169438,23.881275
Lithuania,LTU,2015,14263.96458,896,55.169438,23.881275
Lithuania,LTU,2016,15008.31324,822,55.169438,23.881275
Luxembourg,LUX,2006,90788.80049,65,49.815273,6.129582999999999
Luxembourg,LUX,2007,107475.3203,78,49.815273,6.129582999999999
Luxembourg,LUX,2008,120422.1379,43,49.815273,6.129582999999999
Luxembourg,LUX,2009,109419.747,48,49.815273,6.129582999999999
Luxembourg,LUX,2010,110885.9914,54,49.815273,6.129582999999999
Luxembourg,LUX,2011,119025.0572,55,49.815273,6.129582999999999
Luxembourg,LUX,2012,112584.6763,51,49.815273,6.129582999999999
Luxembourg,LUX,2013,120000.1407,40,49.815273,6.129582999999999
Luxembourg,LUX,2014,123678.7021,67,49.815273,6.129582999999999
Luxembourg,LUX,2015,105462.0126,64,49.815273,6.129582999999999
Latvia,LVA,2006,9723.446902,487,56.879635,24.603189
Latvia,LVA,2007,14113.52913,453,56.879635,24.603189
Latvia,LVA,2008,16467.14369,527,56.879635,24.603189
Latvia,LVA,2009,12331.92855,516,56.879635,24.603189
Latvia,LVA,2010,11420.994,438,56.879635,24.603189
Latvia,LVA,2011,13338.96224,440,56.879635,24.603189
Latvia,LVA,2012,13847.33794,444,56.879635,24.603189
Latvia,LVA,2013,15007.49186,383,56.879635,24.603189
Latvia,LVA,2014,15742.39134,382,56.879635,24.603189
Latvia,LVA,2015,13786.4568,387,56.879635,24.603189
Malta,MLT,2006,16723.87768,26,35.937496,14.375416
Malta,MLT,2007,19485.95061,26,35.937496,14.375416
Malta,MLT,2008,22205.28275,14,35.937496,14.375416
Malta,MLT,2009,21083.12592,36,35.937496,14.375416
Malta,MLT,2010,21799.16274,31,35.937496,14.375416
Malta,MLT,2011,23155.56281,20,35.937496,14.375416
Malta,MLT,2012,22527.75911,25,35.937496,14.375416
Malta,MLT,2013,24770.93408,22,35.937496,14.375416
Malta,MLT,2014,26754.26233,32,35.937496,14.375416
Malta,MLT,2015,24921.579,34,35.937496,14.375416
Montenegro,MNE,2006,4425.678873,0,42.708678,19.37439
Montenegro,MNE,2007,5976.394145,121,42.708678,19.37439
Montenegro,MNE,2008,7367.751909,126,42.708678,19.37439
Montenegro,MNE,2009,6727.107767,107,42.708678,19.37439
Netherlands,NLD,2006,44900.93814,1525,52.132633,5.291265999999999
Netherlands,NLD,2007,51799.20855,1354,52.132633,5.291265999999999
Netherlands,NLD,2008,57879.94376,1439,52.132633,5.291265999999999
Netherlands,NLD,2009,52722.21306,1530,52.132633,5.291265999999999
Netherlands,NLD,2010,50999.74512,1604,52.132633,5.291265999999999
Netherlands,NLD,2011,54230.3129,1650,52.132633,5.291265999999999
Netherlands,NLD,2012,50070.1416,1756,52.132633,5.291265999999999
Netherlands,NLD,2013,52198.89756,1856,52.132633,5.291265999999999
Netherlands,NLD,2014,52900.53742,1839,52.132633,5.291265999999999
Netherlands,NLD,2015,45193.40322,1873,52.132633,5.291265999999999
Netherlands,NLD,2016,46039.10593,1886,52.132633,5.291265999999999
Norway,NOR,2006,74148.32008,532,60.47202399999999,8.468945999999999
Norway,NOR,2007,85139.96045,485,60.47202399999999,8.468945999999999
Norway,NOR,2008,96944.09561,505,60.47202399999999,8.468945999999999
Norway,NOR,2009,79977.69708,573,60.47202399999999,8.468945999999999
Norway,NOR,2010,87693.79007,548,60.47202399999999,8.468945999999999
Norway,NOR,2011,100600.5624,598,60.47202399999999,8.468945999999999
Norway,NOR,2012,101524.1419,515,60.47202399999999,8.468945999999999
Norway,NOR,2013,102913.4508,554,60.47202399999999,8.468945999999999
Norway,NOR,2014,97019.18275,548,60.47202399999999,8.468945999999999
Norway,NOR,2015,74355.51586,590,60.47202399999999,8.468945999999999
Poland,POL,2006,9035.410467,5805,51.919438,19.145136
Poland,POL,2007,11254.51739,5284,51.919438,19.145136
Poland,POL,2008,13996.02515,5682,51.919438,19.145136
Poland,POL,2009,11526.05589,6477,51.919438,19.145136
Poland,POL,2010,12504.25019,6357,51.919438,19.145136
Poland,POL,2011,13776.61155,6113,51.919438,19.145136
Poland,POL,2012,13010.92339,6368,51.919438,19.145136
Poland,POL,2013,13558.41406,6218,51.919438,19.145136
Poland,POL,2014,14182.1375,5934,51.919438,19.145136
Poland,POL,2015,12560.05142,5420,51.919438,19.145136
Romania,ROU,2006,5757.496429,2721,45.943161,24.96676
Romania,ROU,2007,8360.166321,2430,45.943161,24.96676
Romania,ROU,2008,10435.04398,2472,45.943161,24.96676
Romania,ROU,2009,8548.118672,2586,45.943161,24.96676
Romania,ROU,2010,8397.809173,2766,45.943161,24.96676
Romania,ROU,2011,9560.184513,2536,45.943161,24.96676
Romania,ROU,2012,8930.729912,2495,45.943161,24.96676
Romania,ROU,2013,9497.25499,2407,45.943161,24.96676
Romania,ROU,2014,10031.26727,2209,45.943161,24.96676
Romania,ROU,2015,8976.880535,2228,45.943161,24.96676
Romania,ROU,2016,9404.341874,1953,45.943161,24.96676
Russia,RUS,2006,6920.188965,42614,61.52401,105.318756
Russia,RUS,2007,9101.254883,41149,61.52401,105.318756
Russia,RUS,2008,11635.27246,38211,61.52401,105.318756
Russia,RUS,2009,8562.813477,37408,61.52401,105.318756
Russia,RUS,2010,10674.99609,33356,61.52401,105.318756
Russia,RUS,2011,14311.08398,31038,61.52401,105.318756
Russia,RUS,2012,15420.875,29643,61.52401,105.318756
Russia,RUS,2013,15974.64453,28690,61.52401,105.318756
Russia,RUS,2014,14095.64844,26541,61.52401,105.318756
Russia,RUS,2015,9313.013672,25432,61.52401,105.318756
Serbia,SRB,2006,4382.617279,1443,44.016521,21.005859
Serbia,SRB,2007,5848.476405,1353,44.016521,21.005859
Serbia,SRB,2008,7101.040141,1289,44.016521,21.005859
Serbia,SRB,2009,6169.114195,1373,44.016521,21.005859
Serbia,SRB,2010,5735.422857,1207,44.016521,21.005859
Serbia,SRB,2011,6809.159804,1256,44.016521,21.005859
Serbia,SRB,2012,6015.945228,1243,44.016521,21.005859
Serbia,SRB,2013,6755.073675,1197,44.016521,21.005859
Serbia,SRB,2014,6600.056809,1134,44.016521,21.005859
Serbia,SRB,2015,5588.980728,1062,44.016521,21.005859
Slovakia,SVK,2006,13170.78498,0,48.669026,19.699024
Slovakia,SVK,2007,16106.06044,0,48.669026,19.699024
Slovakia,SVK,2008,18753.58494,591,48.669026,19.699024
Slovakia,SVK,2009,16597.20846,601,48.669026,19.699024
